UTC0;Input0;136_0;134_0;97_0;98_0;125_0;127_0;128_0 (Info_to_ignore: TickSize: 0.01 PointValue: 1000)
1/2/2019 3:07:00 PM;46.13;0;0.299275362318841;-0.0497128494463865;0.07246759711948;-0.774360077436006;55.9999999999995;109
1/2/2019 3:12:00 PM;46.42;0;0.295652173913043;0.0211242961705409;0.114643794189126;-0.150570015057002;26.9999999999996;138
1/2/2019 3:14:00 PM;46.81;0;0.294202898550725;0.107493862723175;0.160810688593408;0.688320068832007;0;177
1/2/2019 3:18:00 PM;47.04;0;0.291304347826087;0.192284903609448;0.196481383583745;1.18305011830501;2.00000000000031;200
1/2/2019 3:22:00 PM;47.04;0;0.288405797101449;0.256525349846733;0.208577463856824;1.18305011830501;9.00000000000034;200
1/2/2019 3:26:00 PM;47.26;0;0.285507246376812;0.32148267553297;0.218827831634449;1.65627016562701;7.00000000000003;222
1/2/2019 3:29:00 PM;47.57;0;0.283333333333333;0.393440891662834;0.232628838211451;2.32308023230802;7.99999999999983;253
1/2/2019 3:34:00 PM;47.26;0;0.279710144927536;0.42060540980831;0.207834685085541;1.65627016562701;39.0000000000001;222
1/2/2019 3:44:00 PM;47.48;0;0.272463768115942;0.454644785451535;0.193499248583013;2.12949021294901;17.0000000000002;244
1/2/2019 3:52:00 PM;47.52;0;0.266666666666667;0.479323557987371;0.174542416895079;2.21553022155302;14.9999999999999;248
1/2/2019 4:04:00 PM;47.4;0;0.257971014492754;0.483623752333258;0.143074088992773;1.95741019574101;27.0000000000003;236
1/2/2019 4:11:00 PM;47.83;0;0.252898550724638;0.515783462976529;0.140187039708835;2.88234028823402;1.00000000000051;279
1/2/2019 4:14:00 PM;48.25;0;0.250724637681159;0.568606216751434;0.154407834786992;3.78576037857603;3.00000000000011;321
1/2/2019 4:21:00 PM;48.31;0;0.245652173913043;0.608298047010962;0.155279732037216;3.91482039148204;9.99999999999943;327
1/2/2019 4:29:00 PM;48.02;0;0.239855072463768;0.609329560211322;0.12504899619006;3.29103032910304;44.9999999999996;298
1/2/2019 4:34:00 PM;47.5;0;0.236231884057971;0.561712317730553;0.0619454029674334;2.17251021725102;96.9999999999999;246
1/2/2019 4:43:00 PM;47.55;0;0.229710144927536;0.521992685385456;0.0177806164978691;2.28006022800601;92.0000000000002;251
1/2/2019 4:59:00 PM;47.83;0;0.218115942028986;0.507260863059408;0.00243903533745649;2.88234028823402;64.0000000000001;279
1/2/2019 5:17:00 PM;48.05;0;0.205072463768116;0.507487943994157;0.00213289301776465;3.35556033555602;42.0000000000002;301
1/2/2019 5:40:00 PM;48.01;0;0.188405797101449;0.498691634823444;-0.00533073292235819;3.26952032695202;46.0000000000001;297
1/2/2019 6:10:00 PM;47.99;0;0.166666666666667;0.484521402455236;-0.0156007722324532;3.22650032265003;47.9999999999997;295
1/2/2019 6:36:00 PM;47.54;0;0.147826086956522;0.4320003212271;-0.0544974827684712;2.25855022585502;93;250
1/2/2019 6:51:00 PM;47.29;0;0.13695652173913;0.365985225436084;-0.0964100628475899;1.72080017208001;118;225
1/2/2019 7:14:00 PM;47.03;0;0.120289855072464;0.289352483999402;-0.138434243427418;1.16154011615401;144;199
1/2/2019 7:28:00 PM;47.39;0;0.110144927536232;0.254733071375227;-0.138442924841274;1.93590019359002;108;235
1/2/2019 7:58:00 PM;47.18;0;0.0884057971014493;0.207954522209562;-0.148177179205552;1.48419014841901;129;214
1/2/2019 8:28:00 PM;47.23;0;0.0666666666666667;0.172923413635786;-0.146566630223462;1.591740159174;124;219
1/2/2019 8:58:00 PM;47.31;0;0.0449275362318841;0.149888517589261;-0.13568122101599;1.76382017638202;116;227
1/2/2019 9:28:00 PM;47.29;0;0.0231884057971015;0.128537661511906;-0.125625661674675;1.72080017208001;118;225
1/2/2019 9:58:00 PM;47;0;0.00144927536231884;0.087211063029514;-0.133561808125654;1.09701010970101;147;196
1/2/2019 10:00:00 PM;47.02;1;0;0.0554342572324273;-0.132270891138193;1.14003011400301;145;198
1/2/2019 11:30:00 PM;46.73;0;0.978260869565217;0.00677226685314736;-0.144746305213978;-0.468583599574028;31.0000000000002;11.9999999999997
1/3/2019 12:00:00 AM;46.49;0;0.956521739130435;-0.0505757001602873;-0.16167541778193;-0.979765708200215;54.9999999999997;3.00000000000011
1/3/2019 12:30:00 AM;46.58;0;0.934782608695652;-0.0877505951120057;-0.159080250186919;-0.788072417465398;46.0000000000001;12.9999999999995
1/3/2019 1:00:00 AM;46.41;0;0.91304347826087;-0.129437471839282;-0.160613701531356;-1.15015974440896;63.0000000000003;1.9999999999996
1/3/2019 1:28:00 AM;46.6;0;0.892753623188406;-0.145466364182994;-0.141314075100054;-0.745473908413208;43.9999999999998;52.0000000000003
1/3/2019 1:58:00 AM;46.68;0;0.871014492753623;-0.149985110444497;-0.116666257089246;-0.575079872204479;35.9999999999999;60.0000000000001
1/3/2019 2:28:00 AM;46.52;0;0.849275362318841;-0.164579739447738;-0.10500870887399;-0.915867944621938;51.9999999999996;44.0000000000005
1/3/2019 2:58:00 AM;46.39;0;0.827536231884058;-0.184509095624669;-0.0999504520407367;-1.19275825346113;64.9999999999999;31.0000000000002
1/3/2019 3:28:00 AM;46.42;0;0.805797101449275;-0.195627433419993;-0.0888550318688485;-1.12886048988286;61.9999999999997;34.0000000000003
1/3/2019 3:58:00 AM;46.31;0;0.784057971014493;-0.210883938149422;-0.0832892292786219;-1.36315228966986;72.9999999999997;23.0000000000004
1/3/2019 4:28:00 AM;46.33;0;0.76231884057971;-0.218838362787594;-0.0729949231334347;-1.32055378061769;71.0000000000001;25
1/3/2019 4:58:00 AM;46.34;0;0.740579710144928;-0.221778856589147;-0.0607483335479903;-1.29925452609159;69.9999999999996;26.0000000000005
1/3/2019 5:28:00 AM;46.2;0;0.718840579710145;-0.232723359065133;-0.0573542688191813;-1.59744408945687;83.9999999999996;12.0000000000005
1/3/2019 5:58:00 AM;46.24;0;0.697101449275362;-0.235455110474355;-0.0480688161827225;-1.5122470713525;79.9999999999997;16.0000000000004
1/3/2019 6:28:00 AM;46.24;0;0.67536231884058;-0.234912122427737;-0.0380206625088835;-1.5122470713525;79.9999999999997;16.0000000000004
1/3/2019 6:58:00 AM;46.33;0;0.653623188405797;-0.224630156038764;-0.0221909568959281;-1.32055378061769;71.0000000000001;25
1/3/2019 7:28:00 AM;46.33;0;0.631884057971015;-0.214014596548388;-0.00926031792444218;-1.32055378061769;71.0000000000001;25
1/3/2019 7:58:00 AM;46.3;0;0.610144927536232;-0.20565181237162;-0.000718026998139359;-1.38445154419597;74.0000000000002;21.9999999999999
1/3/2019 8:28:00 AM;46.15;0;0.588405797101449;-0.208721975055091;-0.00303055174528849;-1.70394036208734;89.0000000000001;10.9999999999999
1/3/2019 8:58:00 AM;46.43;0;0.566666666666667;-0.186412592826414;0.0154230643867109;-1.10756123535677;60.9999999999999;39.0000000000001
