UTC0;Input0;136_0;134_0;97_0;98_0;125_10;127_0;128_0 (Info_to_ignore: TickSize: 1 PointValue: 5)
9/6/2018 2:12:00 PM;26104;0;0.295652173913043;17.6760765873005;5.45576504619338;0.17652928083506;63;122
9/6/2018 2:25:00 PM;26082;0;0.286231884057971;17.1122718713123;3.91356826416412;0.0921022334791619;85;100
9/6/2018 2:44:00 PM;26072;0;0.272463768115942;15.6778120867493;1.98328678368095;0.0537263028628444;95;90
9/6/2018 2:51:00 PM;26020;0;0.267391304347826;10.2271349098191;-2.77391231459939;-0.145828536342006;147;38
9/6/2018 3:05:00 PM;25988;0;0.257246376811594;3.28740623946942;-7.77091278795929;-0.268631514314222;179;8
9/6/2018 3:24:00 PM;26004;0;0.243478260869565;-0.91081316025884;-9.57530575015004;-0.207230025328114;163;43
9/6/2018 3:52:00 PM;26048;0;0.223188405797101;-0.679665246538207;-7.47532626914352;-0.0383759306163174;119;87
9/6/2018 4:30:00 PM;26044;0;0.195652173913043;-0.80990929993277;-6.08445625803047;-0.0537263028628444;123;83
9/6/2018 5:05:00 PM;25995;0;0.170289855072464;-4.81155453492829;-8.06888119442079;-0.2417683628828;172;34
9/6/2018 5:36:00 PM;26056;0;0.147826086956522;-3.02581727419965;-5.02651514695373;-0.00767518612326349;111;95
9/6/2018 6:27:00 PM;26073;0;0.110869565217391;-0.236127770502208;-1.78946051460502;0.0575638959244762;94;112
9/6/2018 7:09:00 PM;26126;0;0.0804347826086956;6.18013754174535;3.70144383811403;0.260956328190959;41;165
9/6/2018 7:52:00 PM;26103;0;0.0492753623188406;9.30193928163135;5.45859646240002;0.172691687773429;64;142
9/6/2018 8:52:00 PM;26079;0;0.00579710144927536;9.7272604250611;4.70713408466382;0.0805894542942666;88;118
9/6/2018 9:00:00 PM;26085;1;0;10.4282697491108;4.32651472697079;0.103615012664057;82;124
9/6/2018 11:00:00 PM;26083;0;0.956521739130435;10.699108738052;3.67788297272963;-0.0076672417097949;2;13
9/7/2018 12:00:00 AM;26069;0;0.91304347826087;9.67256824519427;2.1210739838975;-0.0613379336783592;18;3
9/7/2018 1:00:00 AM;26036;0;0.869565217391304;6.12559129785222;-1.14072237075563;-0.187847421889975;51;24
9/7/2018 1:58:00 AM;26081;0;0.827536231884058;6.86655703656652;-0.319805305633072;-0.0153344834195898;6;69
9/7/2018 2:58:00 AM;26058;0;0.784057971014493;5.53407655223782;-1.32182863196942;-0.103507763082231;31;46
9/7/2018 3:58:00 AM;26051;0;0.740579710144928;3.8686394029537;-2.38981262500283;-0.130343109066513;38;39
9/7/2018 4:58:00 AM;26052;0;0.697101449275362;2.59949474863606;-2.92716582345638;-0.126509488211616;37;40
9/7/2018 5:58:00 AM;26060;0;0.653623188405797;2.21370341264628;-2.65036572755692;-0.0958405213724363;29;48
9/7/2018 6:58:00 AM;26083;0;0.610144927536232;3.72097568886602;-0.91447476106975;-0.0076672417097949;22;71
9/7/2018 7:58:00 AM;26071;0;0.566666666666667;3.90221777776605;-0.586586137735772;-0.0536706919685643;34;59
